# wavelength in nm, signal in a.u.
9.4540e+02,2.1470e-06
9.4560e+02,2.1010e-06
9.4580e+02,2.0500e-06
9.4600e+02,1.9950e-06
9.4620e+02,1.9280e-06
9.4640e+02,1.8810e-06
9.4660e+02,1.8370e-06
9.4680e+02,1.8030e-06
9.4700e+02,1.7420e-06
9.4720e+02,1.7080e-06
9.4740e+02,1.6810e-06
9.4760e+02,1.6550e-06
9.4780e+02,1.6320e-06
9.4800e+02,1.6120e-06
9.4820e+02,1.6000e-06
9.4840e+02,1.5920e-06
9.4860e+02,1.5880e-06
9.4880e+02,1.5970e-06
9.4900e+02,1.5970e-06
9.4920e+02,1.5930e-06
9.4940e+02,1.6000e-06
9.4960e+02,1.6060e-06
9.4980e+02,1.6020e-06
9.5000e+02,2.1430e-06
9.5020e+02,2.1530e-06
9.5040e+02,2.1775e-06
9.5060e+02,2.1945e-06
9.5080e+02,2.1800e-06
9.5100e+02,2.1770e-06
9.5120e+02,2.1830e-06
9.5140e+02,2.1940e-06
9.5160e+02,2.1990e-06
9.5180e+02,2.1885e-06
9.5200e+02,2.1700e-06
9.5220e+02,2.1625e-06
9.5240e+02,2.1675e-06
9.5260e+02,2.1525e-06
9.5280e+02,2.1240e-06
9.5300e+02,2.1055e-06
9.5320e+02,2.0825e-06
9.5340e+02,2.1005e-06
9.5360e+02,2.0830e-06
9.5380e+02,2.1120e-06
9.5400e+02,2.1290e-06
9.5420e+02,2.1515e-06
9.5440e+02,2.1705e-06
9.5460e+02,2.1790e-06
9.5480e+02,2.2215e-06
9.5500e+02,2.2675e-06
9.5520e+02,2.3130e-06
9.5540e+02,2.3770e-06
9.5560e+02,2.4245e-06
9.5580e+02,2.4920e-06
9.5600e+02,2.5270e-06
9.5620e+02,2.5660e-06
9.5640e+02,2.6105e-06
9.5660e+02,2.6250e-06
9.5680e+02,2.6545e-06
9.5700e+02,2.6805e-06
9.5720e+02,2.7225e-06
9.5740e+02,2.7385e-06
9.5760e+02,2.7905e-06
9.5780e+02,2.8455e-06
9.5800e+02,2.9020e-06
9.5820e+02,2.9255e-06
9.5840e+02,2.9895e-06
9.5860e+02,3.0205e-06
9.5880e+02,3.0700e-06
9.5900e+02,3.0695e-06
9.5920e+02,3.0740e-06
9.5940e+02,3.0765e-06
9.5960e+02,3.0800e-06
9.5980e+02,3.0510e-06
9.6000e+02,3.0305e-06
9.6020e+02,3.0150e-06
9.6040e+02,2.9970e-06
9.6060e+02,2.9600e-06
9.6080e+02,2.9375e-06
9.6100e+02,2.9270e-06
9.6120e+02,2.8905e-06
9.6140e+02,2.8560e-06
9.6160e+02,2.8340e-06
9.6180e+02,2.8245e-06
9.6200e+02,2.8110e-06
9.6220e+02,2.8140e-06
9.6240e+02,2.8295e-06
9.6260e+02,2.8625e-06
9.6280e+02,2.8755e-06
9.6300e+02,2.9335e-06
9.6320e+02,2.9805e-06
9.6340e+02,3.0340e-06
9.6360e+02,3.0960e-06
9.6380e+02,3.1820e-06
9.6400e+02,3.2690e-06
9.6420e+02,3.3445e-06
9.6440e+02,3.4515e-06
9.6460e+02,3.5595e-06
9.6480e+02,3.6910e-06
9.6500e+02,3.8150e-06
9.6520e+02,3.9735e-06
9.6540e+02,4.1365e-06
9.6560e+02,4.3225e-06
9.6580e+02,4.5150e-06
9.6600e+02,4.7515e-06
9.6620e+02,5.0135e-06
9.6640e+02,5.2965e-06
9.6660e+02,5.6640e-06
9.6680e+02,6.0730e-06
9.6700e+02,6.5455e-06
9.6720e+02,7.0750e-06
9.6740e+02,7.7875e-06
9.6760e+02,8.6510e-06
9.6780e+02,9.6345e-06
9.6800e+02,1.0733e-05
9.6820e+02,1.1969e-05
9.6840e+02,1.3107e-05
9.6860e+02,1.4335e-05
9.6880e+02,1.5515e-05
9.6900e+02,1.6320e-05
9.6920e+02,1.6660e-05
9.6940e+02,1.6470e-05
9.6960e+02,1.5875e-05
9.6980e+02,1.4795e-05
9.7000e+02,1.3467e-05
9.7020e+02,1.2048e-05
9.7040e+02,1.0781e-05
9.7060e+02,9.4695e-06
9.7080e+02,8.3890e-06
9.7100e+02,7.4600e-06
9.7120e+02,6.6255e-06
9.7140e+02,5.9305e-06
9.7160e+02,5.3330e-06
9.7180e+02,4.8615e-06
9.7200e+02,4.4585e-06
9.7220e+02,4.1310e-06
9.7240e+02,3.8700e-06
9.7260e+02,3.6475e-06
9.7280e+02,3.4315e-06
9.7300e+02,3.2565e-06
9.7320e+02,3.1195e-06
